TKNR;Zst;Land;Strklas;Strnum;Datum;Wotag;Fahrtzw;Stunde;KFZ_R1;K_KFZ_R1;KFZ_R2;K_KFZ_R2;Lkw_R1;K_Lkw_R1;Lkw_R2;K_Lkw_R2;PLZ_R1;K_PLZ_R1;Pkw_R1;K_Pkw_R1;Lfw_R1;K_Lfw_R1;Mot_R1;K_Mot_R1;PmA_R1;K_PmA_R1;Bus_R1;K_Bus_R1;LoA_R1;K_LoA_R1;Lzg_R1;K_Lzg_R1;Sat_R1;K_Sat_R1;Son_R1;K_Son_R1;PLZ_R2;K_PLZ_R2;Pkw_R2;K_Pkw_R2;Lfw_R2;K_Lfw_R2;Mot_R2;K_Mot_R2;PmA_R2;K_PmA_R2;Bus_R2;K_Bus_R2;LoA_R2;K_LoA_R2;Lzg_R2;K_Lzg_R2;Sat_R2;K_Sat_R2;Son_R2;K_Son_R2
4615;5119;05;A;  46;220101; 6;s;01;   27;-;   52;-;    0;-;    0;-;   27;-;   26;-;    1;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;   51;-;   50;-;    1;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    1;-
4615;5119;05;A;  46;220101; 6;s;02;   64;-;   86;-;    0;-;    0;-;   63;-;   63;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    1;-;   85;-;   82;-;    3;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    1;-
4615;5119;05;A;  46;220101; 6;s;03;   58;-;   56;-;    0;-;    0;-;   57;-;   54;-;    3;-;    0;-;    1;-;    0;-;    0;-;    0;-;    0;-;    0;-;   54;-;   53;-;    1;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    2;-
4615;5119;05;A;  46;220101; 6;s;04;   40;-;   39;-;    0;-;    0;-;   40;-;   38;-;    2;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;   39;-;   37;-;    2;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-
4615;5119;05;A;  46;220101; 6;s;05;   27;-;   20;-;    0;-;    1;-;   27;-;   26;-;    1;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;   18;-;   16;-;    2;-;    0;-;    1;-;    1;-;    0;-;    0;-;    0;-;    0;-
4615;5119;05;A;  46;220101; 6;s;06;   34;-;   24;-;    0;-;    0;-;   33;-;   31;-;    2;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    1;-;   24;-;   23;-;    1;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-
4615;5119;05;A;  46;220101; 6;s;07;   35;-;   23;-;    0;-;    1;-;   35;-;   32;-;    3;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;   22;-;   20;-;    2;-;    0;-;    0;-;    0;-;    0;-;    1;-;    1;-;    0;-
4615;5119;05;A;  46;220101; 6;s;08;   39;-;   23;-;    0;-;    0;-;   39;-;   38;-;    1;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;   23;-;   21;-;    2;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-;    0;-
4615;5119;05;A;  46;220101; 6;s;09;   71;-;   39;-;    1;-;    0;-;   69;-;   64;-;    5;-;    0;-;    1;-;    1;-;    0;-;    0;-;    0;-;    0;-;   38;-;   34;-;    4;-;    0;-;    1;-;    0;-;    0;-;    0;-;    0;-;    0;-
4615;5119;05;A;  46;220101; 6;s;10;   90;-;   97;-;    2;-;    1;-;   86;-;   76;-;   10;-;    0;-;    2;-;    2;-;    0;-;    0;-;    0;-;    0;-;   94;-;   90;-;    3;-;    1;-;    1;-;    0;-;    1;-;    0;-;    0;-;    1;-
